,9-PV
0,0.556
1,0.408
2,4.495
3,0.361
4,0.347
5,0.366
6,3.806
7,295.923
8,3.981
9,303.475
10,4.375
11,0.37
12,0.375
13,0.355
14,4.143
15,306.07
16,0.382
17,0.405
18,0.41
19,0.38
20,308.77
21,311.676
22,0.413
23,0.438
24,4.963
25,301.51
26,4.524
27,293.324
28,5.406
29,4.031
30,9.654
31,336.71500000000003
32,6.105
33,12.968
34,3.777
35,2.238
36,4.926
37,5.292
38,301.741
39,10.754
40,1.838
41,337.498
42,302.62
43,1.734
44,1.43
45,1.562
46,11.399
47,10.796
48,1.407
49,12.715
50,1.374
51,1.454
52,6.354
53,16.723
54,291.422
55,4.804
56,1.425
57,288.921
58,1.277
59,11.298
