,1-JV,2-JV,3-JV,4-JV,5-JV,6-JV
0,1.843,1.386,10.853,2.745,3.102,2.308
1,0.124,1.247,8.318,1.749,1.324,1.146
2,0.274,3.846,2.906,2.846,2.186,1.085
3,0.143,0.087,0.083,3.275,1.836,1.174
4,0.113,0.969,0.101,2.137,1.846,1.034
5,0.098,0.119,0.196,2.297,1.986,1.196
6,0.183,0.609,0.152,2.328,2.137,1.947
7,0.123,0.061,0.087,2.386,1.746,1.089
8,0.178,0.052,1.399,1.846,1.325,1.134
9,0.143,0.195,0.097,3.201,1.436,1.11
10,11.209,0.734,0.153,2.046,1.217,0.104
11,1.286,0.101,0.127,2.327,1.195,0.298
12,0.136,0.134,0.093,3.123,1.743,0.21
13,0.158,0.041,0.09,1.437,1.137,1.846
14,0.205,0.121,0.137,2.198,,0.214
15,0.638,1.211,0.228,1.138,,1.184
16,0.213,6.732,0.141,1.545,,2.539
17,0.123,4.529,0.076,2.161,,0.801
18,0.429,0.352,0.228,0.506,,0.11
19,0.11,0.203,0.207,0.691,,
20,0.093,0.132,4.602,0.345,,
21,0.324,0.179,0.125,0.817,,
22,1.217,0.145,5.029,0.41,,
23,0.346,9.476,1.341,0.39,,
24,0.13,0.311,0.114,0.634,,
25,0.164,0.202,0.119,0.386,,
26,0.294,0.124,0.119,0.69,,
27,0.135,0.04,0.065,0.284,,
28,0.132,0.413,0.118,0.385,,
29,0.173,5.478,8.834,0.352,,
mean,0.6912333333333334,1.3076333333333334,1.5379333333333334,1.5558333333333332,1.7297142857142858,1.0804736842105263
